,X-coord,Y-coord,w
0,-8.453935549703752,-8.728503851217907,1.0
1,-7.608630255536627,-8.77616269165247,1.0
2,-6.763119972546328,-8.81863119423473,1.0
3,-5.917734804753819,-8.856532122241088,1.0
4,-5.07157258010118,-8.889554738617202,1.0
5,-4.225613043478261,-8.91610587826087,1.0
6,-3.379076896432282,-8.938800762036717,1.0
7,-2.5326466381015162,-8.95652587343441,1.0
8,-1.6854466202783303,-8.96890434062293,1.0
9,-0.8385772847222221,-8.976428125,1.0
10,0.8383737351038475,-8.976508818522301,1.0
11,1.6857682325109833,-8.969013078742817,1.0
12,2.5323450173010382,-8.956683529411764,1.0
13,3.3791341374752153,-8.939042961004626,1.0
14,4.225609662320294,-8.916808458709461,1.0
15,5.071682356948229,-8.888986478201634,1.0
16,5.917868389463154,-8.8563882960987,1.0
17,6.763395574324324,-8.81893179054054,1.0
18,7.608726514364832,-8.776112807199722,1.0
19,8.454047372109319,-8.728423335669236,1.0
20,-8.669379811386657,-7.412013028292002,2.0
21,-7.803112267401792,-7.460189800137836,2.0
22,-6.936346822969759,-7.5035908256880735,2.0
23,-6.069726371681416,-7.541714902654866,2.0
24,-5.202712264474135,-7.575087975334018,2.0
25,-4.334519287427201,-7.602559472422063,2.0
26,-3.466585661268556,-7.625822165991903,2.0
27,-2.5977214093959735,-7.643465436241612,2.0
28,-1.7292968523002423,-7.655873849878935,2.0
29,-0.8606685842232173,-7.663897519807096,2.0
30,0.8603803480589024,-7.6639858099062925,2.0
31,1.7292543896467296,-7.655820706540748,2.0
32,2.5979850293204554,-7.6435898585719215,2.0
33,3.4664909690864882,-7.626022160472388,2.0
34,4.334369034670292,-7.602532902787219,2.0
35,5.202232634730539,-7.575502561543581,2.0
36,6.069680872150644,-7.542025140403038,2.0
37,6.936314175860916,-7.5038894349715815,2.0
38,7.8032244734202605,-7.460089869608828,2.0
39,8.669312303485988,-7.4113698906356795,2.0
40,-8.822243355932203,-5.995126,3.0
41,-7.941409266802444,-6.043480414120842,3.0
42,-7.060047653668209,-6.0870718770654335,3.0
43,-6.177785719120136,-6.125522605752962,3.0
44,-5.295355630706797,-6.158046905647615,3.0
45,-4.412210633333333,-6.1864284666666665,3.0
46,-3.5285019281914893,-6.209483144946808,3.0
47,-2.6448023459383756,-6.227268277310924,3.0
48,-1.7599830995323982,-6.239499665998664,3.0
49,-0.8757076199868508,-6.247392603550296,3.0
50,0.8758944436883295,-6.2472552568900985,3.0
51,1.7602334810773952,-6.239869962495738,3.0
52,2.6443848566610453,-6.227140202360876,3.0
53,3.528571483286908,-6.209357694986073,3.0
54,4.412126078234704,-6.1861451354062185,3.0
55,5.295119080068144,-6.158508211243612,3.0
56,6.17790804835924,-6.125513609671848,3.0
57,7.05984613800206,-6.087519945073807,3.0
58,7.94158140254383,-6.043474871089721,3.0
59,8.822333662691651,-5.99504136286201,3.0
60,-8.938059262981575,-4.505453065326633,4.0
61,-8.045728936464087,-4.554299205801105,4.0
62,-7.1532945707499165,-4.5972934509670855,4.0
63,-6.259434517426274,-4.635500938337802,4.0
64,-5.365589819318972,-4.668694718554551,4.0
65,-4.470717596418733,-4.696381577134987,4.0
66,-3.575426819126819,-4.719300346500346,4.0
67,-2.679743092647544,-4.736966600725355,4.0
68,-1.7836566944908179,-4.749198464106844,4.0
69,-0.8873939076923076,-4.757196717948718,4.0
70,0.8874726374006222,-4.7566199101278945,4.0
71,1.7838015961138098,-4.749490839694656,4.0
72,2.6798223174494344,-4.736783716146726,4.0
73,3.5757055319148936,-4.719250900163666,4.0
74,4.470769073569482,-4.696325340599454,4.0
75,5.36556540775401,-4.668192981283423,4.0
76,6.25951296952516,-4.635839262934089,4.0
77,7.153280651731161,-4.597675050916497,4.0
78,8.045888611599295,-4.554187803163445,4.0
79,8.937909069533086,-4.5057494793416195,4.0
80,-9.028745920043812,-2.9617004038882806,5.0
81,-8.127893563357546,-3.0098811339790155,5.0
82,-7.2262664835909955,-3.0526553905614318,5.0
83,-6.32385167849345,-3.0903721479257644,5.0
84,-5.420686839259159,-3.1230391374881705,5.0
85,-4.516915281173594,-3.1508949606085306,5.0
86,-3.6124334030636343,-3.173399952763344,5.0
87,-2.70747516884907,-3.1908231082012404,5.0
88,-1.8021988867641032,-3.203539154487092,5.0
89,-0.8966600246457178,-3.210952960909153,5.0
90,0.8967202787646897,-3.2107326386990986,5.0
91,1.8022358521226896,-3.2033411943936625,5.0
92,2.7075249088207483,-3.1907850668647844,5.0
93,3.6124492888402626,-3.1730864879649894,5.0
94,4.516787836828888,-3.1508219778728024,5.0
95,5.420719053071121,-3.12325,5.0
96,6.323883774586538,-3.0903264819982303,5.0
97,7.2263195394467905,-3.052691511105055,5.0
98,8.127858288806223,-3.0097324788637136,5.0
99,9.028727650141072,-2.961882365981459,5.0
100,-9.101186092943202,-1.375262581755594,6.0
101,-8.193450818576679,-1.4223129301703974,6.0
102,-7.284874335977924,-1.4648600206967919,6.0
103,-6.375391298615687,-1.5024521094264995,6.0
104,-5.465111437677053,-1.5342614730878186,6.0
105,-4.553632685216225,-1.5620605430774386,6.0
106,-3.642015775127768,-1.5842094718909712,6.0
107,-2.729715960355434,-1.6016804511278195,6.0
108,-1.8168918983050848,-1.6142788135593218,6.0
109,-0.9040190560373583,-1.6216543695797199,6.0
110,0.9039901604643222,-1.621489723455104,6.0
111,1.8171214792299897,-1.6141325565687268,6.0
112,2.7296311827956985,-1.6016386445096122,6.0
113,3.641866368022054,-1.5846558580289456,6.0
114,4.553736955776483,-1.56243651011313,6.0
115,5.464940940288264,-1.5346190459849005,6.0
116,6.375406738909583,-1.5023421266508639,6.0
117,7.284794609348346,-1.4648665643125214,6.0
118,8.193711673414306,-1.4226101551956816,6.0
119,9.101245831842576,-1.3753008944543827,6.0
120,-9.16007202749141,0.24476794845360825,7.0
121,-8.246510953697305,0.1984220663441603,7.0
122,-7.332355752816661,0.15653361898258794,7.0
123,-6.417043139257746,0.11977958597208035,7.0
124,-5.500695105136159,0.08777499310582558,7.0
125,-4.583703962131837,0.06101615042075736,7.0
126,-3.6659034518113467,0.03862905058099795,7.0
127,-2.747744492512479,0.02163800599800333,7.0
128,-1.8289398432174508,0.009635806062607362,7.0
129,-0.9102165356182795,0.0028030882420698924,7.0
130,0.9099217886178862,0.002413247615006775,7.0
131,1.8289817932922654,0.009751761929500342,7.0
132,2.7477338640132674,0.02159910416185738,7.0
133,3.666077566031428,0.038735509194249416,7.0
134,4.583622636986302,0.061177396575342456,7.0
135,5.500639139344262,0.08832074419398907,7.0
136,6.417051942876121,0.1196916662238459,7.0
137,7.3321427285318554,0.15646090027700832,7.0
138,8.246960592643052,0.19797464237057216,7.0
139,9.160232264596694,0.2450782180222747,7.0
140,-9.207138719512194,1.8928349932249322,8.0
141,-8.289241040462427,1.8466410404624278,8.0
142,-7.3706351009237085,1.8055503250085527,8.0
143,-6.450370582010583,1.7693213756613757,8.0
144,-5.529471047083626,1.7381975404075898,8.0
145,-4.607720088676671,1.7120203956343791,8.0
146,-3.6853536568694465,1.6900758714969242,8.0
147,-2.762182243633861,1.6732553682037163,8.0
148,-1.8386839056538327,1.661059243843219,8.0
149,-0.9146826967047748,1.6541767989240082,8.0
150,0.9148165351030388,1.6538656653859587,8.0
151,1.8386667458432304,1.6611009161859518,8.0
152,2.762233588583362,1.6732285415941528,8.0
153,3.685327374872318,1.6899739870616277,8.0
154,4.607786608391609,1.7115076223776222,8.0
155,5.5294738818709455,1.738311505633322,8.0
156,6.4502248290013675,1.7695983242134063,8.0
157,7.370425751814725,1.8056836847563082,8.0
158,8.289246974734043,1.8463614029255317,8.0
159,9.207101085113598,1.8926986775178027,8.0
160,-9.244753355592655,3.562291185308848,9.0
161,-8.323562747138396,3.517028720083246,9.0
162,-7.400925366019749,3.4766430711610483,9.0
163,-6.477394836956522,3.441774592391304,9.0
164,-5.552586739576213,3.410663773069036,9.0
165,-4.627178373819163,3.3850321862348185,9.0
166,-3.7005777740753083,3.363167044318561,9.0
167,-2.773763550749913,3.3471432856644574,9.0
168,-1.8464565935919057,3.335126913996628,9.0
169,-0.9187744561165707,3.3281860725177905,9.0
170,0.9188023581794196,3.328012730870712,9.0
171,1.8463004679144386,3.3352743649732624,9.0
172,2.7738136888586955,3.3471175271739133,9.0
173,3.700713608247423,3.363583402061855,9.0
174,4.626988427197802,3.384647699175825,9.0
175,5.552606980684514,3.410648220942053,9.0
176,6.477525782055689,3.44157817119285,9.0
177,7.400924261744967,3.477233859060402,9.0
178,8.323379155313352,3.517271457765667,9.0
179,9.244942727882037,3.562406970509383,9.0
180,-9.274279677861548,5.249835709389993,10.0
181,-8.349952927400468,5.206435262629642,10.0
182,-7.424714604462475,5.166279445571331,10.0
183,-6.498132298136646,5.131725086266391,10.0
184,-5.5705600942126505,5.1017559892328395,10.0
185,-4.641986559139784,5.076003662634409,10.0
186,-3.7127298631965298,5.0553997997998,10.0
187,-2.783098485358465,5.038779905755638,10.0
188,-1.8526240164214849,5.027765138556277,10.0
189,-0.9217540840220386,5.020885640495868,10.0
190,0.9216267584097859,5.020829833503228,10.0
191,1.8522958231813438,5.027613156978767,10.0
192,2.782900620689655,5.039209413793103,10.0
193,3.7128663667820065,5.054943875432526,10.0
194,4.642094841134267,5.075964571233345,10.0
195,5.570673270768161,5.101406777893639,10.0
196,6.498166518315646,5.131602499144129,10.0
197,7.424537726186412,5.166629259132811,10.0
198,8.349983085950983,5.205830134622023,10.0
199,9.27403699767519,5.2497630355363665,10.0
200,-9.295957732656515,6.952050321489002,11.0
201,-8.36987824858757,6.9086913488700565,11.0
202,-7.442584181756064,6.870499658353264,11.0
203,-6.514110003368137,6.836564904008084,11.0
204,-5.584470176586003,6.807006213211249,11.0
205,-4.653382729427701,6.782260751777853,11.0
206,-3.7219272142857145,6.761887964285714,11.0
207,-2.7900136094674552,6.746519143752176,11.0
208,-1.8568880976602238,6.735112783994575,11.0
209,-0.923964277027027,6.728086317567568,11.0
210,0.9239828382949933,6.72895544654939,11.0
211,1.8569559154449369,6.734879747698601,11.0
212,2.7897066782006923,6.74643152249135,11.0
213,3.72185941591138,6.7619312520980195,11.0
214,4.6535823713490965,6.782593393602226,11.0
215,5.584369356486212,6.807468369084099,11.0
216,6.513847417037291,6.837095689360247,11.0
217,7.442341680672269,6.870411630252101,11.0
218,8.3700338994339,6.908944622044623,11.0
219,9.295868069565218,6.952073843478261,11.0
220,-9.311534585709493,8.665433679973164,12.0
221,-8.383819927416695,8.623554800395908,12.0
222,-7.455239945186707,8.586308084960603,12.0
223,-6.5249593548387095,8.553213752122241,12.0
224,-5.593799007936509,8.524329861111111,12.0
225,-4.661656100886162,8.499913531015677,12.0
226,-3.7284282033898304,8.480685898305085,12.0
227,-2.7948135570911483,8.46540289568937,12.0
228,-1.8602944934698198,8.45405128838687,12.0
229,-0.9254824915254237,8.447559152542373,12.0
230,0.9254420982292015,8.447312863347811,12.0
231,1.8602667114996638,8.45407874915938,12.0
232,2.794445551724138,8.464943931034483,12.0
233,3.7285146580907247,8.48038960731212,12.0
234,4.661490491911522,8.500349290194784,12.0
235,5.594002108222066,8.524461454673224,12.0
236,6.525117464509739,8.552869858038957,12.0
237,7.455080867518493,8.586044989912576,12.0
238,8.383747994467496,8.62357306362379,12.0
239,9.31112408359027,8.665264165810209,12.0
240,-9.320508225696805,10.38751325628824,13.0
241,-8.392375484094051,10.346740318118949,13.0
242,-7.46286616643929,10.310656548431105,13.0
243,-6.531938894308944,10.2783437398374,13.0
244,-5.5999439414567735,10.250540163376446,13.0
245,-4.666725653047555,10.226988948425989,13.0
246,-3.732443300034447,10.207919738201861,13.0
247,-2.7978463690872752,10.193172218520985,13.0
