,X-coord,Y-coord,w
0,-8.462495833333334,-7.502983333333333,1.0
1,-7.615379310344827,-7.5511482758620705,1.0
2,-6.769950000000001,-7.5952785714285715,1.0
3,-5.923464516129031,-7.633606451612904,1.0
4,-5.078123333333333,-7.664246666666666,1.0
5,-4.23204074074074,-7.691918518518518,1.0
6,-3.3856599999999997,-7.714865714285713,1.0
7,-2.534871428571428,-7.733514285714286,1.0
8,-1.6871176470588238,-7.742823529411764,1.0
9,-0.8420254545454546,-7.751086363636364,1.0
10,0.8393846428571429,-7.7515214285714285,1.0
11,1.6884972972972971,-7.744397297297298,1.0
12,2.5329916666666663,-7.732054166666667,1.0
13,3.3820666666666663,-7.7119185185185195,1.0
14,4.229697058823529,-7.690429411764706,1.0
15,5.076891428571429,-7.664422857142857,1.0
16,5.923563636363636,-7.632375757575757,1.0
17,6.768968965517242,-7.594710344827586,1.0
18,7.6182107142857145,-7.552885714285715,1.0
19,8.46331935483871,-7.505367741935484,1.0
20,-8.67443103448276,-6.150710344827586,2.0
21,-7.81151,-6.19708,2.0
22,-6.945167999999999,-6.240412,2.0
23,-6.0757,-6.279005,2.0
24,-5.210533333333334,-6.310300000000001,2.0
25,-4.337534285714285,-6.337540000000001,2.0
26,-3.4690142857142865,-6.36205357142857,2.0
27,-2.602512,-6.380952,2.0
28,-1.7300428571428572,-6.391771428571428,2.0
29,-0.8602306451612903,-6.397209677419355,2.0
30,0.8618790243902441,-6.3985317073170735,2.0
31,1.729764705882353,-6.389382352941176,2.0
32,2.598186666666666,-6.37799,2.0
33,3.467714285714286,-6.363946428571429,2.0
34,4.337803125,-6.339146875,2.0
35,5.208651724137931,-6.311658620689656,2.0
36,6.074840625,-6.277390625000001,2.0
37,6.940981481481482,-6.23874074074074,2.0
38,7.810157142857142,-6.198146428571428,2.0
39,8.676503846153846,-6.147926923076924,2.0
40,-8.827551999999999,-4.699916,3.0
41,-7.9477121212121205,-4.747854545454546,3.0
42,-7.0662,-4.792304,3.0
43,-6.183162962962963,-4.8303777777777785,3.0
44,-5.297974999999999,-4.8634722222222235,3.0
45,-4.415235483870968,-4.8891,3.0
46,-3.5338352941176474,-4.915397058823529,3.0
47,-2.647025,-4.931364285714286,3.0
48,-1.7624103448275863,-4.944106896551724,3.0
49,-0.8782743478260869,-4.952869565217391,3.0
50,0.8750916216216217,-4.9524567567567574,3.0
51,1.759896774193548,-4.943287096774193,3.0
52,2.643700000000001,-4.931077272727273,3.0
53,3.530993939393939,-4.917393939393939,3.0
54,4.417895454545454,-4.891590909090909,3.0
55,5.297381818181818,-4.8651681818181824,3.0
56,6.1816565217391295,-4.830808695652174,3.0
57,7.0642342105263145,-4.791502631578949,3.0
58,7.947780000000001,-4.750426666666666,3.0
59,8.827884000000001,-4.701960000000001,3.0
60,-8.942930303030302,-3.1870909090909088,4.0
61,-8.051328205128206,-3.2359615384615386,4.0
62,-7.156636666666667,-3.2773833333333333,4.0
